episode,score,type
1554,3.0,test
1555,2.0,test
1556,4.0,test
1557,1.0,test
1558,1.0,test
1559,1.0,test
1560,3.0,test
1561,0,test
1562,4.0,test
1563,1.0,test
1564,2.0,test
1565,1.0,test
1566,3.0,test
1567,1.0,test
1568,1.0,test
1569,0,test
1570,2.0,test
1571,0,test
1572,1.0,test
1573,3.0,test
1574,1.0,test
1575,3.0,test
1576,2.0,test
1577,3.0,test
1578,1.0,test
1579,2.0,test
1580,1.0,test
1581,1.0,test
1582,1.0,test
1583,1.0,test
1584,2.0,test
1585,2.0,test
1586,1.0,test
1587,3.0,test
1588,0,test
1589,3.0,test
1590,1.0,test
1591,5.0,test
1592,0,test
1593,1.0,test
1594,1.0,test
1595,0,test
1596,2.0,test
1597,1.0,test
1598,2.0,test
1599,3.0,train
1600,1.0,train
1601,1.0,train
1602,4.0,train
1603,1.0,train
1604,1.0,train
1605,2.0,train
1606,1.0,train
1607,3.0,train
1608,1.0,train
1609,2.0,train
1610,2.0,train
1611,1.0,train
1612,1.0,train
1613,2.0,train
1614,1.0,train
1615,2.0,train
1616,0,train
1617,3.0,train
1618,4.0,train
1619,5.0,train
1620,3.0,train
1621,4.0,train
1622,3.0,train
1623,0,train
1624,2.0,train
1625,2.0,train
1626,1.0,train
1627,0,train
1628,1.0,train
1629,5.0,train
1630,1.0,train
1631,1.0,train
1632,0,train
1633,2.0,train
1634,0,train
1635,1.0,train
1636,3.0,train
1637,1.0,train
1638,1.0,train
1639,1.0,train
1640,2.0,train
1641,3.0,train
1642,3.0,train
1643,1.0,train
1644,1.0,train
1645,1.0,train
1646,0,train
1647,3.0,train
1648,1.0,train
1649,0,train
1650,5.0,train
1651,4.0,train
1652,1.0,train
1653,0,train
1654,1.0,train
1655,1.0,train
1656,2.0,train
1657,2.0,train
1658,1.0,train
1659,1.0,train
1660,1.0,train
1661,1.0,train
1662,2.0,train
1663,0,train
1664,2.0,train
1665,3.0,train
1666,1.0,train
1667,4.0,train
1668,1.0,train
1669,1.0,train
1670,1.0,train
1671,0,train
1672,2.0,train
1673,1.0,train
1674,4.0,train
1675,2.0,train
1676,1.0,train
1677,1.0,train
1678,3.0,train
1679,3.0,train
1680,1.0,train
1681,1.0,train
1682,1.0,train
1683,1.0,train
1684,1.0,train
1685,3.0,train
1686,2.0,train
1687,2.0,train
1688,1.0,train
1689,1.0,train
1690,3.0,train
1691,2.0,train
1692,2.0,train
1693,1.0,train
1694,1.0,train
1695,3.0,train
1696,2.0,train
1697,2.0,train
1698,4.0,train
1699,1.0,train
1700,2.0,train
1701,1.0,train
1702,1.0,train
1703,3.0,train
1704,0,train
1705,0,train
1706,0,train
1707,0,train
1708,2.0,train
1709,3.0,train
1710,1.0,train
1711,3.0,train
1712,0,train
1713,0,train
1714,2.0,train
1715,1.0,train
1716,3.0,train
1717,1.0,train
1718,2.0,train
1719,1.0,train
1720,1.0,train
1721,1.0,train
1722,0,train
1723,0,train
1724,0,train
1725,1.0,train
1726,4.0,train
1727,3.0,train
1728,3.0,train
1729,2.0,train
1730,1.0,train
1731,1.0,train
1732,0,train
1733,1.0,train
1734,0,train
1735,2.0,train
1736,2.0,train
1737,1.0,train
1738,2.0,train
1739,1.0,train
1740,2.0,train
1741,1.0,train
1742,1.0,train
1743,1.0,train
1744,0,train
1745,2.0,train
